Name,",mse",si_mse,angular,psnr
glass_passage_4k.exr,1.1847523,0.20199698,1.3569442414988202,5.349644532268618
golf_course_sunrise_4k.exr,0.8617053,0.35604897,3.0958294359339087,7.824021792326111
graffiti_shelter_4k.exr,0.67002434,0.17222776,1.9359765815905643,12.447966847087724
gray_pier_4k.exr,0.45635468,0.08436266,2.341200278469621,6.898361374356847
green_point_park_4k.exr,0.8256069,0.4269922,3.3393138226948493,10.457354768542565
green_sanctuary_4k.exr,0.49719524,0.19119866,7.385790654870525,7.836336489599103
greenwich_park_03_4k.exr,0.5941508,0.13124163,2.1716605550894243,6.247315865131199
greenwich_park_4k.exr,0.4213095,0.304821,7.512146384425136,13.696585744605553
gym_01_4k.exr,0.6131146,0.061079416,0.9847972144214361,3.9690221802523395
gym_entrance_4k.exr,0.5888964,0.17616032,9.496784743645453,6.889826318541377
hall_of_finfish_4k.exr,0.76850057,0.09850488,2.3928739047141363,4.211734275038102
hall_of_mammals_4k.exr,0.7669873,0.12573752,2.1935062940323604,4.383783078664701
hansaplatz_4k.exr,0.58566904,0.24679577,9.322562984562424,11.138069236897792
harties_4k.exr,0.1103175,0.092907965,7.608488889284564,12.687231939434726
herkulessaulen_4k.exr,0.86072904,0.26206827,3.982325194430028,6.8616559642226616
hikers_cave_4k.exr,0.1624945,0.15984586,8.666860005413922,19.087463703111098
hilltop_construction_4k.exr,0.14445639,0.122216895,10.06704566854847,11.640234859043641
hospital_room_4k.exr,0.39843753,0.0555601,1.3737585847190752,5.200725362487756
hotel_room_4k.exr,2.1800206,0.9994077,17.429586032641726,6.750362737373372
immenstadter_horn_4k.exr,0.6365049,0.3271646,2.4767578107524795,10.621518523775094
indoor_pool_4k.exr,0.5340596,0.13007864,3.7343755113055566,8.133690825273
industrial_pipe_and_valve_01_4k.exr,0.84670097,0.29503947,4.702312925477003,4.043273161222667
industrial_pipe_and_valve_02_4k.exr,0.1502531,0.11794243,5.42599963728958,14.947500627966726
industrial_sunset_02_4k.exr,0.35703844,0.16895556,10.434100169967703,10.998500947450722
industrial_sunset_02_puresky_4k.exr,0.36807287,0.18870899,10.96981144666447,11.279198116593294
industrial_sunset_4k.exr,0.393005,0.1958468,4.584587941148157,9.157678717160538
industrial_workshop_foundry_4k.exr,0.90754145,0.16567463,2.1413170308183425,6.829275148050844
interior_construction_4k.exr,0.39209816,0.18568769,1.9211638329876115,11.075240323349057
kiara_1_dawn_4k.exr,0.7718928,0.29726097,5.887911151063236,9.545154772218492
kiara_3_morning_4k.exr,4.203116,1.9687028,6.900885807686514,9.622794939116268
kiara_4_mid-morning_4k.exr,5.450253,2.8569713,10.852831081717802,7.721104244914293
kiara_5_noon_4k.exr,6.537652,2.9348302,13.024840371647466,5.195657789960463
kiara_6_afternoon_4k.exr,5.433192,2.5811224,13.56882861239308,7.231669437335839
kiara_7_late-afternoon_4k.exr,0.1230118,0.11987223,8.007725842355594,19.432705997023966
kiara_8_sunset_4k.exr,0.17502119,0.14340685,6.2888546936548115,20.34110691593493
kiara_9_dusk_4k.exr,0.866853,0.29674897,4.4984700853166375,8.986940728040727
kiara_interior_4k.exr,0.4493181,0.20156957,14.082347442379815,12.785209992982846
killesberg_park_4k.exr,0.5473404,0.19626978,4.013106219426249,8.345603313767326
kloetzle_blei_4k.exr,1.0199403,0.19770226,1.692610333520309,5.045392635380383
kloofendal_38d_partly_cloudy_4k.exr,0.14932622,0.093646795,2.1012252055243876,15.819915360024668
kloofendal_38d_partly_cloudy_puresky_4k.exr,0.9572889,0.09684131,4.0879259622461355,7.741098594417206
kloofendal_48d_partly_cloudy_4k.exr,0.42670462,0.13504873,2.3824543241176794,8.540311073194099
kloofendal_48d_partly_cloudy_puresky_4k.exr,0.76789194,0.25357482,6.139318077986686,7.379633082790882
kloppenheim_01_4k.exr,0.46232486,0.18114395,4.001857185362641,9.242138413391585
kloppenheim_01_puresky_4k.exr,0.5193719,0.14455152,0.9476061454817243,8.693801978604515
kloppenheim_02_4k.exr,0.1761592,0.06920125,4.128327446278811,15.79798972139583
kloppenheim_03_4k.exr,0.4348244,0.13418582,1.310008553713194,7.127040165621741
kloppenheim_04_4k.exr,0.25972986,0.07809532,3.03585525788467,14.419917621974793
kloppenheim_05_4k.exr,2.9352875,1.0083679,10.018410142863848,2.5384636615553164
kloppenheim_05_puresky_4k.exr,2.9244888,1.0838394,13.956501448842905,2.5877193636767775
kloppenheim_06_4k.exr,0.4200619,0.13888171,5.591020208730904,9.258983880943088
kloppenheim_06_puresky_4k.exr,0.43853644,0.14701054,6.002940697291975,9.312564274552122
kloppenheim_07_4k.exr,0.039347365,0.03897346,1.4140803317924084,22.017235372112097
konigsallee_4k.exr,1.9092009,0.30405325,1.155099215411196,4.382505322197549
konzerthaus_4k.exr,1.145256,0.34604898,9.858171496740104,3.106610369382797
lago_disola_4k.exr,0.3487907,0.20783564,8.23908759925652,9.73891409430053
lakes_4k.exr,0.20364106,0.074990354,9.23419100912694,15.13492918600483
lakeside_4k.exr,0.07746628,0.0673191,3.980830482457907,20.24554988042279
lapa_4k.exr,0.24368684,0.12248997,8.080777640138374,14.740901602707424
large_corridor_4k.exr,0.20177965,0.10190605,3.6007879320874845,12.315434420452242
lauter_waterfall_4k.exr,0.66318053,0.20349164,1.8721906987328507,4.353477674325646
leadenhall_market_4k.exr,1.1242561,0.14653541,4.576880776459106,3.577690676237278
learner_park_4k.exr,0.73218083,0.07996919,0.5654397355359533,7.7648833238898165
lenong_1_4k.exr,0.31795406,0.1488764,1.6538761667262551,7.066548907355519
lenong_2_4k.exr,0.49278778,0.40485105,20.370326428500228,18.602088105078536
lenong_3_4k.exr,0.89559734,0.21890666,0.5778297492201557,5.101423958547703
lilienstein_4k.exr,0.12711844,0.11823044,4.034146108618735,18.498112001700463
limehouse_4k.exr,0.51228416,0.12328459,1.391505828365985,7.444151551881876
limpopo_golf_course_4k.exr,0.6831184,0.2664185,3.1787991787188647,7.733472956768673
lookout_4k.exr,0.39094397,0.07979279,2.477943361241398,13.243345325352184
lot_01_4k.exr,0.21126729,0.20577376,0.8711448812048374,17.08716183125518
lot_02_4k.exr,0.40482837,0.21467614,3.248237242162226,11.083111176579328
lush_dirt_path_4k.exr,0.44376123,0.39769623,2.1459590328275455,13.245623386728926
lythwood_field_4k.exr,1.8650603,0.2643574,0.9728279310674074,4.020454978698543
lythwood_lounge_4k.exr,0.59858763,0.19684796,9.877407659362799,8.355533516745817
lythwood_room_4k.exr,0.531837,0.4007555,14.459475405932595,9.463366836274737
lythwood_terrace_4k.exr,0.5512638,0.18014358,1.3889132316697073,7.592767399374991
machine_shop_01_4k.exr,0.72949183,0.22861879,1.9655912191563558,8.541153141537595
machine_shop_03_4k.exr,0.54479545,0.08625481,1.1077543860906585,6.6384678451692185
mall_parking_lot_4k.exr,0.33444393,0.18577859,6.303817824039604,14.781446241949387
mealie_road_4k.exr,0.46733344,0.4248089,19.930472540754998,16.839908599966478
missile_launch_facility_01_4k.exr,0.19324306,0.1337362,2.8803418232268236,14.602587820324972
missile_launch_facility_03_4k.exr,0.44348305,0.14202914,1.006145507029255,7.589038419379025
misty_dawn_4k.exr,0.81969696,0.24243474,8.870234380955775,8.897824760111552
misty_farm_road_4k.exr,0.70872056,0.11428366,0.8369647863787872,6.674787032078809
misty_pines_4k.exr,2.1073496,0.37730747,6.419887649588312,2.1751335970939984
modern_buildings_2_4k.exr,0.35418788,0.2112262,4.999731074099926,12.394616722500878
modern_buildings_4k.exr,2.071855,0.6736596,6.627277153642568,8.08891473010984
modern_buildings_night_4k.exr,1.1848434,0.30855814,4.2626260677398395,8.159215655856247
monbachtal_riverbank_4k.exr,0.8936894,0.22880848,3.773420543895261,3.364066476398407
monks_forest_4k.exr,0.50466406,0.22134534,2.2620671495646514,6.764721280264699
moonless_golf_4k.exr,0.22141673,0.025784342,7.557890030856011,7.892242950420158
moonlit_golf_4k.exr,0.9958237,0.7470833,7.8587061152928515,10.51595202524962
mosaic_tunnel_4k.exr,0.12776923,0.12037573,4.698047303494615,18.688525455165884
mossy_forest_4k.exr,1.0616869,0.62000114,15.45867768673282,5.458155375684267
moulton_falls_train_tunnel_east_4k.exr,0.86497754,0.37785935,6.326075573801365,5.904732704634258
mpumalanga_veld_4k.exr,0.079278946,0.056006376,5.567740171843189,18.650539156202065
mud_road_puresky_4k.exr,0.32116055,0.061271608,2.0631799054434654,6.037264834212363
muddy_autumn_forest_4k.exr,1.268144,0.41630545,2.5024189336710814,3.2552687208319933
museum_of_ethnography_4k.exr,0.6542453,0.22037044,14.837602643389683,4.571449548373291
museum_of_history_4k.exr,0.11992889,0.11575322,4.6627396441366775,19.616282068805575
music_hall_01_4k.exr,1.0574832,0.12911142,5.022759818950044,5.086923385953133
music_hall_02_4k.exr,0.74599594,0.3453597,21.522576311898405,6.71523158605519
mutianyu_4k.exr,0.15516715,0.15365142,7.98827100202566,19.873840714190646
nagoya_wall_path_4k.exr,0.67563444,0.25889057,8.919287552368324,7.271300713457452
narrow_moonlit_road_4k.exr,0.41935578,0.23082297,2.8419695597107997,9.714255792370082
nature_reserve_forest_4k.exr,0.9608047,0.27341843,3.8934023181301347,6.814273642059656
neuer_zollhof_4k.exr,3.2315798,2.5349758,38.48041432277232,10.452487548087458
neurathen_rock_castle_4k.exr,0.23647137,0.12591195,1.4672930381773988,15.920946902772746
ninomaru_teien_4k.exr,0.93473274,0.31758416,6.9216483233521435,7.697496241341982
nkuhlu_4k.exr,0.17164506,0.09264871,11.035423692418886,11.928563995413972
noga_4k.exr,0.18889432,0.09765811,6.322410896212417,16.779248199469457
noon_grass_4k.exr,0.5774634,0.2609749,3.6197195462068086,6.508657910807157
northcliff_4k.exr,0.36802605,0.06930863,0.43430028067725485,10.701680026868846
old_bus_depot_4k.exr,0.26001945,0.12788333,7.483702291866415,13.75268366121385
old_depot_4k.exr,0.74274856,0.33587968,11.593916205303367,5.950949074221078
old_hall_4k.exr,0.42482692,0.21061908,5.0390314500324305,12.144947899394241
old_outdoor_theater_4k.exr,0.16708525,0.083881795,6.015309419763106,11.070267409088853
old_quarry_gerlingen_4k.exr,0.8700328,0.10452846,0.56427066279495,4.74241538634017
old_room_4k.exr,0.24187224,0.12039409,3.5197684699999634,13.669638699449822
old_tree_in_city_park_4k.exr,0.59963703,0.26148108,14.244192182727328,8.19837215215038
orlando_stadium_4k.exr,1.3620836,0.56947947,6.166136007251697,6.948359768994089
outdoor_umbrellas_4k.exr,0.63998187,0.26627544,6.647888375172875,8.243786648562416
outdoor_workshop_4k.exr,0.8356639,0.4458073,7.758309946996832,11.067796678218237
palermo_park_4k.exr,1.0574535,0.40629497,5.732030488883282,7.466785735025048
palermo_sidewalk_4k.exr,0.615646,0.22309743,8.273414196391611,8.314842829044004
parched_canal_4k.exr,0.22280297,0.15842947,4.8594829113331155,15.550951688533967
park_bench_4k.exr,0.07398827,0.032121718,4.347226064478276,16.08069005141963
park_parking_4k.exr,1.5892777,0.75463516,6.117595758419675,6.7990047813725605
partial_eclipse_4k.exr,1.8879741,1.0596583,19.047344328549332,5.6474994072264355
pedestrian_overpass_4k.exr,0.3351239,0.2725723,12.180925819618091,21.062049153350838
peppermint_powerplant_2_4k.exr,0.7662279,0.45336208,19.229843697591402,12.269352136382242
phalzer_forest_01_4k.exr,0.20354328,0.14457263,1.5783234745839536,13.894459522913813
phone_shop_4k.exr,0.9558208,0.39096603,4.567591171740903,4.5466720455314205
photo_studio_01_4k.exr,0.8654939,0.1955711,1.3737397477401994,5.4770054910712975
photo_studio_broadway_hall_4k.exr,0.44580406,0.20151696,0.5296253011118746,7.631073983475291
photo_studio_london_hall_4k.exr,0.36867997,0.14620662,1.6796297139714078,10.779873592516193
piazza_bologni_4k.exr,0.6322208,0.13780548,3.303171857536944,7.146574650938641
piazza_san_marco_4k.exr,0.4979425,0.17412941,8.328948347228385,8.932807319629468
pillars_4k.exr,0.25177166,0.14291109,20.866911870959196,10.423339080396675
pink_sunrise_4k.exr,0.19572705,0.10852876,5.913249787761953,15.182490057344175
pizzo_pernice_4k.exr,1.6117259,0.8045666,11.989074055368734,5.231042218268399
pizzo_pernice_puresky_4k.exr,1.5734932,0.8891318,13.434220381501907,5.445330219878862
pond_4k.exr,1.2190769,0.43088108,4.477189535058747,7.67926793015532
pond_bridge_night_4k.exr,2.0112786,0.6046604,11.514760317445681,6.418131510978578
portland_landing_pad_4k.exr,1.4073284,0.3582808,2.105234859704328,5.446930943684666
potsdamer_platz_4k.exr,0.9262883,0.0984197,1.2104341910738283,4.740050668249016
preller_drive_4k.exr,0.68290883,0.24019788,8.937996439788002,10.02597720007121
pretville_cinema_4k.exr,1.1415557,0.72056264,5.502000184085577,6.33471162818242
provence_studio_4k.exr,0.8566354,0.2745669,2.570192786717481,3.145491687296395
pump_station_4k.exr,0.3492092,0.1415233,4.549884604878712,11.376605233367181
pylons_4k.exr,0.21741995,0.12969413,5.342991360386496,9.041715127092578
quarry_01_4k.exr,0.093723215,0.09291768,4.279884379995297,19.43708108878123
quarry_01_puresky_4k.exr,0.14348948,0.13434295,4.826753791339551,17.14731292925633
quarry_02_4k.exr,0.16374724,0.14461687,11.025332361707573,14.325829646248799
quarry_03_4k.exr,0.50707924,0.31118903,13.109313042423926,10.80275849458609
quarry_04_4k.exr,0.55236727,0.17401277,6.955971108139666,8.146799433547972
quarry_04_puresky_4k.exr,0.602034,0.15993488,6.323519956914884,7.895409311363732
quattro_canti_4k.exr,0.58128214,0.28399763,6.956321291252721,10.505119456586101
qwantani_4k.exr,0.11516681,0.091540694,6.098902658434204,16.486948628573632
qwantani_puresky_4k.exr,0.106274895,0.10583273,5.460064077626588,17.965450415023547
railway_bridge_02_4k.exr,0.17825973,0.15635835,4.583800964640542,15.71063960573142
rainforest_trail_4k.exr,0.49941465,0.2537534,3.559995697007926,10.443966455167423
rathaus_4k.exr,0.78121847,0.3381274,13.388940877072578,6.18762962614937
reading_room_4k.exr,0.3449298,0.1408705,1.6807811307164064,14.42030028387132
red_hill_curve_4k.exr,0.6237226,0.48869988,10.589480900162696,11.66329994693271
red_hill_straight_4k.exr,0.25243384,0.028602565,4.494340843757234,10.84554557813089
red_wall_4k.exr,1.0555747,0.39344585,8.68975703315561,4.765697629396965
reichstag_1_4k.exr,1.1888812,0.1822757,1.8143880530718126,4.669186150078753
reinforced_concrete_01_4k.exr,0.22145796,0.16685268,6.391144320580527,16.1275075110245
